date,channel,campaign_name,spend,revenue,impressions,clicks,conversions
2026-05-13,google_ads,GOOGLE_ADS - Promo,317.53,1670.13,11988,162,19
2026-05-13,meta_ads,META_ADS - Promo,392.59,956.77,19431,381,11
2026-05-13,tiktok_ads,TIKTOK_ADS - Promo,266.75,1370.8,7595,217,16
2026-05-13,linkedin_ads,LINKEDIN_ADS - Promo,912.61,2481.31,107280,1490,29
2026-05-13,email,EMAIL - Promo,503.11,1022.6,82705,973,12
2026-05-14,google_ads,GOOGLE_ADS - Promo,686.56,3770.87,28704,416,44
2026-05-14,meta_ads,META_ADS - Promo,496.25,1216.43,22265,365,14
2026-05-14,tiktok_ads,TIKTOK_ADS - Promo,984.91,2717.7,18648,518,31
2026-05-14,linkedin_ads,LINKEDIN_ADS - Promo,799.97,3981.02,63270,1110,46
2026-05-14,email,EMAIL - Promo,882.7,3306.89,34385,1495,38
2026-05-15,google_ads,GOOGLE_ADS - Promo,462.4,2297.0,16031,697,27
2026-05-15,meta_ads,META_ADS - Promo,624.68,1483.21,18705,435,17
2026-05-15,tiktok_ads,TIKTOK_ADS - Promo,761.14,2786.57,20090,410,32
2026-05-15,linkedin_ads,LINKEDIN_ADS - Promo,442.4,1727.15,19584,612,20
2026-05-15,email,EMAIL - Promo,413.88,1015.01,22908,249,11
2026-05-16,google_ads,GOOGLE_ADS - Promo,716.97,1413.4,69608,791,16
2026-05-16,meta_ads,META_ADS - Promo,473.5,2053.74,13079,319,24
2026-05-16,tiktok_ads,TIKTOK_ADS - Promo,873.66,3886.59,44919,651,45
2026-05-16,linkedin_ads,LINKEDIN_ADS - Promo,721.62,1474.4,65460,1091,17
2026-05-16,email,EMAIL - Promo,122.75,538.15,9450,105,6
2026-05-17,google_ads,GOOGLE_ADS - Promo,839.14,4432.23,40390,1154,52
2026-05-17,meta_ads,META_ADS - Promo,173.94,735.18,13050,261,8
2026-05-17,tiktok_ads,TIKTOK_ADS - Promo,691.99,1826.71,46200,825,21
2026-05-17,linkedin_ads,LINKEDIN_ADS - Promo,806.72,3219.92,47838,714,37
2026-05-17,email,EMAIL - Promo,530.81,1311.73,30217,451,15
2026-05-18,google_ads,GOOGLE_ADS - Promo,820.79,3549.18,39240,981,41
2026-05-18,meta_ads,META_ADS - Promo,379.81,1124.16,38761,467,13
2026-05-18,tiktok_ads,TIKTOK_ADS - Promo,924.11,2205.21,28671,503,25
2026-05-18,linkedin_ads,LINKEDIN_ADS - Promo,417.68,682.81,31450,629,8
2026-05-18,email,EMAIL - Promo,614.97,2059.37,20636,308,24
2026-05-19,google_ads,GOOGLE_ADS - Promo,463.58,1742.52,25254,366,20
2026-05-19,meta_ads,META_ADS - Promo,812.31,2114.97,41552,784,24
2026-05-19,tiktok_ads,TIKTOK_ADS - Promo,444.53,1564.19,9056,283,18
2026-05-19,linkedin_ads,LINKEDIN_ADS - Promo,849.75,1786.74,45105,485,21
2026-05-19,email,EMAIL - Promo,147.35,691.83,16835,185,8
2026-05-20,google_ads,GOOGLE_ADS - Promo,956.8,4318.29,36648,509,50
2026-05-20,meta_ads,META_ADS - Promo,276.79,670.89,17010,243,7
2026-05-20,tiktok_ads,TIKTOK_ADS - Promo,249.07,864.23,24738,399,10
2026-05-20,linkedin_ads,LINKEDIN_ADS - Promo,578.68,1093.02,34496,704,12
2026-05-20,email,EMAIL - Promo,721.27,2957.16,10017,477,34
2026-05-21,google_ads,GOOGLE_ADS - Promo,313.04,1631.95,17550,195,19
2026-05-21,meta_ads,META_ADS - Promo,818.54,4361.46,36872,838,51
2026-05-21,tiktok_ads,TIKTOK_ADS - Promo,510.58,2665.42,12166,553,31
2026-05-21,linkedin_ads,LINKEDIN_ADS - Promo,396.92,1550.89,9588,204,18
2026-05-21,email,EMAIL - Promo,895.19,3458.88,43688,508,40
2026-05-22,google_ads,GOOGLE_ADS - Promo,579.71,1305.54,65688,714,15
2026-05-22,meta_ads,META_ADS - Promo,932.32,1752.49,48512,758,20
2026-05-22,tiktok_ads,TIKTOK_ADS - Promo,219.5,676.95,8602,253,7
2026-05-22,linkedin_ads,LINKEDIN_ADS - Promo,223.0,1215.96,6780,113,14
2026-05-22,email,EMAIL - Promo,675.78,3327.33,96278,1058,39
2026-05-23,google_ads,GOOGLE_ADS - Promo,664.21,1180.51,14043,453,13
2026-05-23,meta_ads,META_ADS - Promo,109.28,403.76,3920,80,4
2026-05-23,tiktok_ads,TIKTOK_ADS - Promo,570.05,2652.74,44204,514,31
2026-05-23,linkedin_ads,LINKEDIN_ADS - Promo,593.8,3129.63,38857,637,36
2026-05-23,email,EMAIL - Promo,100.52,235.02,5808,121,2
2026-05-24,google_ads,GOOGLE_ADS - Promo,665.08,1322.93,62608,688,15
2026-05-24,meta_ads,META_ADS - Promo,836.92,1262.62,36120,420,14
2026-05-24,tiktok_ads,TIKTOK_ADS - Promo,285.36,708.68,5684,203,8
2026-05-24,linkedin_ads,LINKEDIN_ADS - Promo,998.88,3034.38,159368,1811,35
2026-05-24,email,EMAIL - Promo,469.68,2189.51,17596,332,25
2026-05-25,google_ads,GOOGLE_ADS - Promo,850.54,2665.86,40809,669,31
2026-05-25,meta_ads,META_ADS - Promo,506.74,2394.6,32340,330,28
2026-05-25,tiktok_ads,TIKTOK_ADS - Promo,978.54,4955.58,50016,521,58
2026-05-25,linkedin_ads,LINKEDIN_ADS - Promo,356.2,579.81,10686,274,6
2026-05-25,email,EMAIL - Promo,192.19,669.58,7992,111,7
2026-05-26,google_ads,GOOGLE_ADS - Promo,590.76,1053.13,19398,366,12
2026-05-26,meta_ads,META_ADS - Promo,312.25,848.74,25201,319,9
