date,channel,campaign_name,spend,revenue,impressions,clicks,conversions
2026-04-05,google_ads,GOOGLE_ADS - Promo,464.18,1153.8,60800,800,13
2026-04-05,meta_ads,META_ADS - Promo,502.77,2405.71,50895,585,28
2026-04-05,tiktok_ads,TIKTOK_ADS - Promo,112.0,296.53,8232,84,3
2026-04-05,linkedin_ads,LINKEDIN_ADS - Promo,159.08,280.41,15300,300,3
2026-04-05,email,EMAIL - Promo,801.63,3198.3,125035,1471,37
2026-04-06,google_ads,GOOGLE_ADS - Promo,211.3,801.23,8694,138,9
2026-04-06,meta_ads,META_ADS - Promo,565.56,2118.67,10370,305,24
2026-04-06,tiktok_ads,TIKTOK_ADS - Promo,195.67,864.08,19062,353,10
2026-04-06,linkedin_ads,LINKEDIN_ADS - Promo,251.44,1262.94,6090,145,14
2026-04-06,email,EMAIL - Promo,758.84,3613.18,36120,420,42
2026-04-07,google_ads,GOOGLE_ADS - Promo,689.42,1713.03,33930,522,20
2026-04-07,meta_ads,META_ADS - Promo,476.63,1190.17,25840,272,14
2026-04-07,tiktok_ads,TIKTOK_ADS - Promo,847.15,3992.09,28896,602,46
2026-04-07,linkedin_ads,LINKEDIN_ADS - Promo,627.62,2633.35,21450,325,30
2026-04-07,email,EMAIL - Promo,888.17,4864.58,18400,460,57
2026-04-08,google_ads,GOOGLE_ADS - Promo,292.24,793.98,12075,175,9
2026-04-08,meta_ads,META_ADS - Promo,918.37,1557.66,56406,1106,18
2026-04-08,tiktok_ads,TIKTOK_ADS - Promo,824.88,2046.71,73840,923,24
2026-04-08,linkedin_ads,LINKEDIN_ADS - Promo,446.71,1510.61,11844,564,17
2026-04-08,email,EMAIL - Promo,469.35,1344.65,37931,457,15
2026-04-09,google_ads,GOOGLE_ADS - Promo,435.52,2335.18,45276,462,27
2026-04-09,meta_ads,META_ADS - Promo,368.19,863.39,24192,384,10
2026-04-09,tiktok_ads,TIKTOK_ADS - Promo,613.0,3331.68,12839,347,39
2026-04-09,linkedin_ads,LINKEDIN_ADS - Promo,860.32,4016.9,51370,934,47
2026-04-09,email,EMAIL - Promo,105.84,418.23,3900,75,4
2026-04-10,google_ads,GOOGLE_ADS - Promo,529.78,2728.74,7539,359,32
2026-04-10,meta_ads,META_ADS - Promo,412.94,2097.18,14792,344,24
2026-04-10,tiktok_ads,TIKTOK_ADS - Promo,170.79,560.61,4840,88,6
2026-04-10,linkedin_ads,LINKEDIN_ADS - Promo,288.08,1257.46,17017,187,14
2026-04-10,email,EMAIL - Promo,447.83,2063.01,36579,411,24
2026-04-11,google_ads,GOOGLE_ADS - Promo,215.06,528.85,13200,330,6
2026-04-11,meta_ads,META_ADS - Promo,583.91,2769.21,33051,479,32
2026-04-11,tiktok_ads,TIKTOK_ADS - Promo,840.65,1479.76,77814,1441,17
2026-04-11,linkedin_ads,LINKEDIN_ADS - Promo,707.95,2568.09,17544,408,30
2026-04-11,email,EMAIL - Promo,291.72,479.67,11152,164,5
2026-04-12,google_ads,GOOGLE_ADS - Promo,917.1,1915.88,30096,684,22
2026-04-12,meta_ads,META_ADS - Promo,964.41,4697.93,86592,984,55
2026-04-12,tiktok_ads,TIKTOK_ADS - Promo,915.6,1491.69,49724,802,17
2026-04-12,linkedin_ads,LINKEDIN_ADS - Promo,760.61,2811.58,15320,766,33
2026-04-12,email,EMAIL - Promo,673.02,1333.01,57914,1259,15
2026-04-13,google_ads,GOOGLE_ADS - Promo,750.85,3827.84,24448,764,45
2026-04-13,meta_ads,META_ADS - Promo,300.21,514.12,28304,464,6
2026-04-13,tiktok_ads,TIKTOK_ADS - Promo,310.71,545.63,18834,219,6
2026-04-13,linkedin_ads,LINKEDIN_ADS - Promo,291.09,504.09,12672,384,5
2026-04-13,email,EMAIL - Promo,759.5,3103.63,16280,440,36
2026-04-14,google_ads,GOOGLE_ADS - Promo,845.49,3055.41,40820,628,35
2026-04-14,meta_ads,META_ADS - Promo,959.11,4876.23,30150,603,57
2026-04-14,tiktok_ads,TIKTOK_ADS - Promo,806.41,2364.26,39330,414,27
2026-04-14,linkedin_ads,LINKEDIN_ADS - Promo,393.23,1290.04,22140,492,15
2026-04-14,email,EMAIL - Promo,791.87,4012.21,45080,460,47
2026-04-15,google_ads,GOOGLE_ADS - Promo,101.14,228.67,3007,97,2
2026-04-15,meta_ads,META_ADS - Promo,160.01,511.1,5632,256,6
2026-04-15,tiktok_ads,TIKTOK_ADS - Promo,820.04,1720.88,124660,1355,20
2026-04-15,linkedin_ads,LINKEDIN_ADS - Promo,378.18,1586.71,16644,292,18
2026-04-15,email,EMAIL - Promo,410.54,1081.08,4928,224,12
2026-04-16,google_ads,GOOGLE_ADS - Promo,389.12,1834.05,43524,468,21
2026-04-16,meta_ads,META_ADS - Promo,991.09,4732.61,62244,741,55
2026-04-16,tiktok_ads,TIKTOK_ADS - Promo,496.49,1755.22,53675,565,20
2026-04-16,linkedin_ads,LINKEDIN_ADS - Promo,760.51,3417.35,36890,527,40
2026-04-16,email,EMAIL - Promo,204.93,347.87,4752,132,4
2026-04-17,google_ads,GOOGLE_ADS - Promo,483.77,2153.08,19695,303,25
2026-04-17,meta_ads,META_ADS - Promo,183.57,988.86,11508,137,11
2026-04-17,tiktok_ads,TIKTOK_ADS - Promo,732.14,1560.58,9575,383,18
2026-04-17,linkedin_ads,LINKEDIN_ADS - Promo,718.87,1357.2,113959,1373,15
2026-04-17,email,EMAIL - Promo,396.53,1985.43,43760,547,23
2026-04-18,google_ads,GOOGLE_ADS - Promo,822.8,2820.68,17252,454,33
2026-04-18,meta_ads,META_ADS - Promo,949.42,2044.59,86112,897,24
2026-04-18,tiktok_ads,TIKTOK_ADS - Promo,675.26,3120.32,63378,1006,36
2026-04-18,linkedin_ads,LINKEDIN_ADS - Promo,829.36,4254.6,62424,867,50
2026-04-18,email,EMAIL - Promo,343.18,990.19,18444,636,11
2026-04-19,google_ads,GOOGLE_ADS - Promo,543.56,1186.54,28836,356,13
2026-04-19,meta_ads,META_ADS - Promo,353.12,1530.7,28847,317,18
2026-04-19,tiktok_ads,TIKTOK_ADS - Promo,871.55,1341.86,33075,1575,15
2026-04-19,linkedin_ads,LINKEDIN_ADS - Promo,109.85,193.6,2760,60,2
2026-04-19,email,EMAIL - Promo,641.52,2867.17,63480,690,33
2026-04-20,google_ads,GOOGLE_ADS - Promo,774.08,3939.43,37180,676,46
2026-04-20,meta_ads,META_ADS - Promo,832.09,2702.88,15912,468,31
2026-04-20,tiktok_ads,TIKTOK_ADS - Promo,579.35,2999.48,29601,897,35
2026-04-20,linkedin_ads,LINKEDIN_ADS - Promo,656.18,2862.68,54245,571,33
2026-04-20,email,EMAIL - Promo,761.04,1207.03,29070,969,14
2026-04-21,google_ads,GOOGLE_ADS - Promo,985.67,2696.0,25970,530,31
2026-04-21,meta_ads,META_ADS - Promo,473.21,1896.0,50447,827,22
2026-04-21,tiktok_ads,TIKTOK_ADS - Promo,368.53,1843.61,7326,222,21
2026-04-21,linkedin_ads,LINKEDIN_ADS - Promo,505.77,2413.23,8998,409,28
2026-04-21,email,EMAIL - Promo,803.09,3700.54,35916,492,43
2026-04-22,google_ads,GOOGLE_ADS - Promo,298.26,910.57,8215,265,10
2026-04-22,meta_ads,META_ADS - Promo,756.84,3592.96,11781,561,42
2026-04-22,tiktok_ads,TIKTOK_ADS - Promo,540.39,2479.03,13260,442,29
2026-04-22,linkedin_ads,LINKEDIN_ADS - Promo,404.65,1801.04,43788,492,21
2026-04-22,email,EMAIL - Promo,537.95,2335.52,18632,274,27
2026-04-23,google_ads,GOOGLE_ADS - Promo,272.75,1158.99,8700,150,13
2026-04-23,meta_ads,META_ADS - Promo,212.08,772.16,8151,143,9
2026-04-23,tiktok_ads,TIKTOK_ADS - Promo,506.04,1754.24,31021,463,20
2026-04-23,linkedin_ads,LINKEDIN_ADS - Promo,469.73,1252.32,46890,521,14
2026-04-23,email,EMAIL - Promo,499.2,2416.41,28981,397,28
2026-04-24,google_ads,GOOGLE_ADS - Promo,402.33,1079.83,8700,435,12
2026-04-24,meta_ads,META_ADS - Promo,226.21,952.84,3198,123,11
2026-04-24,tiktok_ads,TIKTOK_ADS - Promo,422.67,2254.8,17700,354,26
2026-04-24,linkedin_ads,LINKEDIN_ADS - Promo,258.96,748.84,10025,401,8
2026-04-24,email,EMAIL - Promo,148.28,590.34,4212,81,6
2026-04-25,google_ads,GOOGLE_ADS - Promo,898.94,4233.52,51240,610,49
2026-04-25,meta_ads,META_ADS - Promo,205.58,507.79,15397,173,5
2026-04-25,tiktok_ads,TIKTOK_ADS - Promo,897.79,2684.66,61100,1222,31
2026-04-25,linkedin_ads,LINKEDIN_ADS - Promo,991.02,2783.01,30228,1374,32
2026-04-25,email,EMAIL - Promo,448.96,1463.78,58146,881,17
2026-04-26,google_ads,GOOGLE_ADS - Promo,751.9,3778.89,47328,986,44
2026-04-26,meta_ads,META_ADS - Promo,781.0,3475.23,89528,1178,40
2026-04-26,tiktok_ads,TIKTOK_ADS - Promo,575.58,2579.27,16813,391,30
2026-04-26,linkedin_ads,LINKEDIN_ADS - Promo,993.9,3456.46,24960,832,40
2026-04-26,email,EMAIL - Promo,648.59,3507.76,9614,418,41
2026-04-27,google_ads,GOOGLE_ADS - Promo,153.69,821.83,7695,95,9
2026-04-27,meta_ads,META_ADS - Promo,308.6,1505.08,3560,178,17
2026-04-27,tiktok_ads,TIKTOK_ADS - Promo,781.04,4052.71,56115,645,47
2026-04-27,linkedin_ads,LINKEDIN_ADS - Promo,935.52,3004.92,28160,640,35
2026-04-27,email,EMAIL - Promo,875.43,2399.93,38841,1177,28
2026-04-28,google_ads,GOOGLE_ADS - Promo,877.48,3044.95,42583,439,35
2026-04-28,meta_ads,META_ADS - Promo,818.86,3121.16,13640,440,36
2026-04-28,tiktok_ads,TIKTOK_ADS - Promo,463.02,2358.47,79170,870,27
2026-04-28,linkedin_ads,LINKEDIN_ADS - Promo,824.14,2282.75,32660,460,26
2026-04-28,email,EMAIL - Promo,799.07,3099.48,30153,437,36
2026-04-29,google_ads,GOOGLE_ADS - Promo,263.19,403.82,22125,375,4
