date,channel,campaign_name,spend,revenue,impressions,clicks,conversions
2026-04-22,google_ads,GOOGLE_ADS - Promo,129.45,204.61,4958,67,2
2026-04-22,meta_ads,META_ADS - Promo,801.63,1551.45,15064,538,18
2026-04-22,tiktok_ads,TIKTOK_ADS - Promo,889.02,3320.12,92115,1335,39
2026-04-22,linkedin_ads,LINKEDIN_ADS - Promo,944.38,1839.34,61908,804,21
2026-04-22,email,EMAIL - Promo,831.35,1757.53,93438,1611,20
2026-04-23,google_ads,GOOGLE_ADS - Promo,236.05,833.08,24500,350,9
2026-04-23,meta_ads,META_ADS - Promo,623.93,2522.35,7326,333,29
2026-04-23,tiktok_ads,TIKTOK_ADS - Promo,351.22,837.51,20210,235,9
2026-04-23,linkedin_ads,LINKEDIN_ADS - Promo,986.35,2947.14,64980,684,34
2026-04-23,email,EMAIL - Promo,592.75,926.57,17168,296,10
2026-04-24,google_ads,GOOGLE_ADS - Promo,724.04,1260.55,78822,1359,14
2026-04-24,meta_ads,META_ADS - Promo,838.25,1556.31,15762,426,18
2026-04-24,tiktok_ads,TIKTOK_ADS - Promo,699.14,1994.99,38332,1369,23
2026-04-24,linkedin_ads,LINKEDIN_ADS - Promo,129.38,614.86,3840,64,7
2026-04-24,email,EMAIL - Promo,388.0,588.91,30340,370,6
2026-04-25,google_ads,GOOGLE_ADS - Promo,966.2,4501.9,63074,671,52
2026-04-25,meta_ads,META_ADS - Promo,516.62,1282.63,12788,278,15
2026-04-25,tiktok_ads,TIKTOK_ADS - Promo,501.93,1720.67,26712,318,20
2026-04-25,linkedin_ads,LINKEDIN_ADS - Promo,944.36,1573.54,119970,1290,18
2026-04-25,email,EMAIL - Promo,297.72,1352.72,22072,356,15
2026-04-26,google_ads,GOOGLE_ADS - Promo,383.37,1760.36,4326,206,20
2026-04-26,meta_ads,META_ADS - Promo,834.55,2462.3,21443,523,28
2026-04-26,tiktok_ads,TIKTOK_ADS - Promo,917.43,2031.61,24778,953,23
2026-04-26,linkedin_ads,LINKEDIN_ADS - Promo,846.51,1352.89,21264,443,15
2026-04-26,email,EMAIL - Promo,360.41,859.89,5568,192,10
2026-04-27,google_ads,GOOGLE_ADS - Promo,824.45,3042.13,79112,1364,35
2026-04-27,meta_ads,META_ADS - Promo,589.49,1571.77,23340,389,18
2026-04-27,tiktok_ads,TIKTOK_ADS - Promo,944.43,3796.65,19282,622,44
2026-04-27,linkedin_ads,LINKEDIN_ADS - Promo,726.12,3818.2,59334,638,44
2026-04-27,email,EMAIL - Promo,782.25,3771.96,64369,1091,44
2026-04-28,google_ads,GOOGLE_ADS - Promo,814.14,2071.55,25854,417,24
2026-04-28,meta_ads,META_ADS - Promo,265.36,469.66,10011,213,5
2026-04-28,tiktok_ads,TIKTOK_ADS - Promo,926.99,2291.33,81236,883,26
2026-04-28,linkedin_ads,LINKEDIN_ADS - Promo,415.5,1505.46,17760,222,17
2026-04-28,email,EMAIL - Promo,535.72,2681.17,56637,651,31
2026-04-29,google_ads,GOOGLE_ADS - Promo,114.65,244.1,6790,70,2
2026-04-29,meta_ads,META_ADS - Promo,519.31,2395.56,8010,267,28
2026-04-29,tiktok_ads,TIKTOK_ADS - Promo,362.2,1664.2,24479,269,19
2026-04-29,linkedin_ads,LINKEDIN_ADS - Promo,384.18,1991.17,8587,277,23
2026-04-29,email,EMAIL - Promo,241.61,899.58,30710,370,10
2026-04-30,google_ads,GOOGLE_ADS - Promo,207.9,1107.06,10270,130,13
2026-04-30,meta_ads,META_ADS - Promo,157.49,608.0,3780,126,7
2026-04-30,tiktok_ads,TIKTOK_ADS - Promo,750.81,1455.77,35640,405,17
2026-04-30,linkedin_ads,LINKEDIN_ADS - Promo,748.09,2918.74,15048,456,34
2026-04-30,email,EMAIL - Promo,882.37,2449.93,134838,1362,28
2026-05-01,google_ads,GOOGLE_ADS - Promo,669.95,2148.75,14560,416,25
2026-05-01,meta_ads,META_ADS - Promo,112.79,368.13,8680,124,4
2026-05-01,tiktok_ads,TIKTOK_ADS - Promo,439.24,1837.15,25323,367,21
2026-05-01,linkedin_ads,LINKEDIN_ADS - Promo,498.6,2496.74,8618,278,29
2026-05-01,email,EMAIL - Promo,831.73,2378.98,29468,556,27
2026-05-02,google_ads,GOOGLE_ADS - Promo,815.59,2464.55,30291,439,28
2026-05-02,meta_ads,META_ADS - Promo,580.9,3168.91,87420,930,37
2026-05-02,tiktok_ads,TIKTOK_ADS - Promo,442.89,2254.59,20895,597,26
2026-05-02,linkedin_ads,LINKEDIN_ADS - Promo,840.24,3146.32,32193,511,37
2026-05-02,email,EMAIL - Promo,868.02,4281.65,30666,807,50
2026-05-03,google_ads,GOOGLE_ADS - Promo,718.04,2800.71,13545,387,32
2026-05-03,meta_ads,META_ADS - Promo,220.54,794.53,23736,276,9
2026-05-03,tiktok_ads,TIKTOK_ADS - Promo,410.47,1437.32,17009,233,16
2026-05-03,linkedin_ads,LINKEDIN_ADS - Promo,335.95,1652.48,5472,228,19
2026-05-03,email,EMAIL - Promo,757.12,2891.63,14976,416,34
2026-05-04,google_ads,GOOGLE_ADS - Promo,414.08,2142.35,39403,433,25
2026-05-04,meta_ads,META_ADS - Promo,415.3,1565.37,18954,243,18
2026-05-04,tiktok_ads,TIKTOK_ADS - Promo,258.63,1243.81,13289,137,14
2026-05-04,linkedin_ads,LINKEDIN_ADS - Promo,929.76,2089.0,32355,719,24
2026-05-04,email,EMAIL - Promo,169.65,700.99,12948,332,8
2026-05-05,google_ads,GOOGLE_ADS - Promo,581.97,3151.32,19065,465,37
2026-05-05,meta_ads,META_ADS - Promo,863.67,4649.15,93860,1235,54
2026-05-05,tiktok_ads,TIKTOK_ADS - Promo,835.02,4507.52,37319,557,53
2026-05-05,linkedin_ads,LINKEDIN_ADS - Promo,172.93,889.13,6601,161,10
2026-05-05,email,EMAIL - Promo,914.66,1817.38,40180,490,21
2026-05-06,google_ads,GOOGLE_ADS - Promo,870.72,3751.84,49140,910,44
2026-05-06,meta_ads,META_ADS - Promo,860.85,1909.72,51538,706,22
2026-05-06,tiktok_ads,TIKTOK_ADS - Promo,899.24,3480.86,81589,983,40
2026-05-06,linkedin_ads,LINKEDIN_ADS - Promo,352.55,1680.63,16027,517,19
2026-05-06,email,EMAIL - Promo,560.42,2502.56,11280,376,29
2026-05-07,google_ads,GOOGLE_ADS - Promo,198.28,465.08,13855,163,5
2026-05-07,meta_ads,META_ADS - Promo,953.95,2260.6,20793,717,26
2026-05-07,tiktok_ads,TIKTOK_ADS - Promo,668.19,1915.12,13946,367,22
2026-05-07,linkedin_ads,LINKEDIN_ADS - Promo,159.9,629.69,10050,201,7
2026-05-07,email,EMAIL - Promo,572.19,1890.96,8652,309,22
2026-05-08,google_ads,GOOGLE_ADS - Promo,718.14,1569.41,54800,685,18
2026-05-08,meta_ads,META_ADS - Promo,874.39,1462.87,46458,534,17
2026-05-08,tiktok_ads,TIKTOK_ADS - Promo,302.82,1252.02,53350,550,14
2026-05-08,linkedin_ads,LINKEDIN_ADS - Promo,519.18,1611.38,52682,742,18
2026-05-08,email,EMAIL - Promo,845.09,1917.07,49098,501,22
2026-05-09,google_ads,GOOGLE_ADS - Promo,445.3,2408.62,22407,679,28
2026-05-09,meta_ads,META_ADS - Promo,463.23,1554.0,25350,390,18
2026-05-09,tiktok_ads,TIKTOK_ADS - Promo,697.8,1963.78,23064,372,23
2026-05-09,linkedin_ads,LINKEDIN_ADS - Promo,328.06,1037.37,14400,450,12
2026-05-09,email,EMAIL - Promo,579.33,2432.36,57456,912,28
2026-05-10,google_ads,GOOGLE_ADS - Promo,165.11,507.52,4692,102,5
2026-05-10,meta_ads,META_ADS - Promo,559.4,2707.54,23254,302,31
2026-05-10,tiktok_ads,TIKTOK_ADS - Promo,635.21,3200.3,27840,348,37
2026-05-10,linkedin_ads,LINKEDIN_ADS - Promo,988.19,4426.13,47340,1052,52
2026-05-10,email,EMAIL - Promo,462.83,1973.95,19008,432,23
2026-05-11,google_ads,GOOGLE_ADS - Promo,592.1,1459.96,18408,472,17
2026-05-11,meta_ads,META_ADS - Promo,584.52,2613.36,32830,335,30
2026-05-11,tiktok_ads,TIKTOK_ADS - Promo,777.48,3669.18,34573,449,43
