date,channel,campaign_name,spend,revenue,impressions,clicks,conversions
2026-04-11,google_ads,GOOGLE_ADS - Promo,679.52,1095.27,53879,1253,12
2026-04-11,meta_ads,META_ADS - Promo,443.56,1920.5,7326,333,22
2026-04-11,tiktok_ads,TIKTOK_ADS - Promo,571.78,1680.34,32016,348,19
2026-04-11,linkedin_ads,LINKEDIN_ADS - Promo,795.93,2118.19,45585,1013,24
2026-04-11,email,EMAIL - Promo,686.62,1602.73,57421,631,18
2026-04-12,google_ads,GOOGLE_ADS - Promo,896.86,2015.8,45524,1198,23
2026-04-12,meta_ads,META_ADS - Promo,489.43,768.75,13260,260,9
2026-04-12,tiktok_ads,TIKTOK_ADS - Promo,306.52,904.56,6080,160,10
2026-04-12,linkedin_ads,LINKEDIN_ADS - Promo,774.15,2064.4,46094,1213,24
2026-04-12,email,EMAIL - Promo,429.8,2123.94,12839,347,24
2026-04-13,google_ads,GOOGLE_ADS - Promo,461.09,1763.73,11594,341,20
2026-04-13,meta_ads,META_ADS - Promo,919.84,4242.84,36610,523,49
2026-04-13,tiktok_ads,TIKTOK_ADS - Promo,781.23,2050.48,78120,1395,24
2026-04-13,linkedin_ads,LINKEDIN_ADS - Promo,358.35,1899.8,30528,318,22
2026-04-13,email,EMAIL - Promo,618.21,1723.47,15265,355,20
2026-04-14,google_ads,GOOGLE_ADS - Promo,337.42,660.53,29302,322,7
2026-04-14,meta_ads,META_ADS - Promo,549.74,835.87,60192,684,9
2026-04-14,tiktok_ads,TIKTOK_ADS - Promo,302.6,955.26,18207,357,11
2026-04-14,linkedin_ads,LINKEDIN_ADS - Promo,280.56,1483.82,14060,185,17
2026-04-14,email,EMAIL - Promo,295.71,1523.68,9333,153,17
2026-04-15,google_ads,GOOGLE_ADS - Promo,598.13,1842.85,31020,330,21
2026-04-15,meta_ads,META_ADS - Promo,309.98,1012.89,16165,265,11
2026-04-15,tiktok_ads,TIKTOK_ADS - Promo,553.68,2548.56,30305,551,29
2026-04-15,linkedin_ads,LINKEDIN_ADS - Promo,730.41,3842.18,56210,730,45
2026-04-15,email,EMAIL - Promo,419.35,1721.11,22140,246,20
2026-04-16,google_ads,GOOGLE_ADS - Promo,972.98,3517.04,41454,658,41
2026-04-16,meta_ads,META_ADS - Promo,724.66,2575.18,36432,414,30
2026-04-16,tiktok_ads,TIKTOK_ADS - Promo,729.66,3387.08,39904,464,39
2026-04-16,linkedin_ads,LINKEDIN_ADS - Promo,318.29,1481.94,32032,416,17
2026-04-16,email,EMAIL - Promo,525.59,2524.92,15771,751,29
2026-04-17,google_ads,GOOGLE_ADS - Promo,940.11,2582.86,34968,564,30
2026-04-17,meta_ads,META_ADS - Promo,507.67,2396.69,19314,522,28
2026-04-17,tiktok_ads,TIKTOK_ADS - Promo,405.77,1973.81,9423,349,23
2026-04-17,linkedin_ads,LINKEDIN_ADS - Promo,806.43,1366.23,30968,632,16
2026-04-17,email,EMAIL - Promo,709.15,1960.98,98637,1281,23
2026-04-18,google_ads,GOOGLE_ADS - Promo,241.54,1274.82,20672,272,14
2026-04-18,meta_ads,META_ADS - Promo,739.3,3902.04,33550,610,45
2026-04-18,tiktok_ads,TIKTOK_ADS - Promo,111.4,414.7,5880,84,4
2026-04-18,linkedin_ads,LINKEDIN_ADS - Promo,592.32,2565.34,27735,645,30
2026-04-18,email,EMAIL - Promo,660.12,3522.13,51328,802,41
2026-04-19,google_ads,GOOGLE_ADS - Promo,955.44,5121.3,29785,805,60
2026-04-19,meta_ads,META_ADS - Promo,999.79,1551.83,60768,1688,18
2026-04-19,tiktok_ads,TIKTOK_ADS - Promo,487.85,1846.0,20256,844,21
2026-04-19,linkedin_ads,LINKEDIN_ADS - Promo,725.54,2593.1,62640,783,30
2026-04-19,email,EMAIL - Promo,415.09,2156.06,25542,297,25
2026-04-20,google_ads,GOOGLE_ADS - Promo,967.77,4717.3,63525,825,55
2026-04-20,meta_ads,META_ADS - Promo,665.58,3074.89,8616,359,36
2026-04-20,tiktok_ads,TIKTOK_ADS - Promo,523.54,2134.45,15486,267,25
2026-04-20,linkedin_ads,LINKEDIN_ADS - Promo,329.99,1488.79,9240,168,17
2026-04-20,email,EMAIL - Promo,157.89,736.36,17600,200,8
2026-04-21,google_ads,GOOGLE_ADS - Promo,443.87,1833.56,22608,314,21
2026-04-21,meta_ads,META_ADS - Promo,834.92,2109.8,49060,892,24
2026-04-21,tiktok_ads,TIKTOK_ADS - Promo,638.74,2829.35,25840,646,33
2026-04-21,linkedin_ads,LINKEDIN_ADS - Promo,139.6,746.11,2040,85,8
2026-04-21,email,EMAIL - Promo,936.36,3878.42,67689,981,45
2026-04-22,google_ads,GOOGLE_ADS - Promo,811.95,3644.2,89089,1001,42
2026-04-22,meta_ads,META_ADS - Promo,462.74,1380.52,20315,239,16
2026-04-22,tiktok_ads,TIKTOK_ADS - Promo,960.4,3116.9,33180,1580,36
